Track,Global_Corner_ID,driver_number,Entry_Speed,Apex_Speed,Exit_Speed,Speed_Delta,Braking_Pct_Before_Apex,Trail_Braking_Pct,Throttle_App_Pct_After_Apex,Coasting_Pct,Braking_Time_Pct,Average_Throttle,Min_Gear,Corner_Distance_m,Average_Speed
Monza,105,44,261,197,216,64,0.37261977031022797,0.0,0.861469455340548,0.0,0.3076923076923077,50.69230769230769,5,1818.1512826242183,215.6153846153846
Monza,105,55,257,196,222,61,0.8635776625603394,0.679268226045503,0.7651810005515485,0.0,0.5,46.25,5,1735.1130740624592,215.25
Monza,105,63,257,199,221,58,0.698631463605216,0.0,0.5567413241912728,0.0,0.25,70.0,5,2172.1457711180433,214.33333333333334
Monza,105,77,236,187,218,49,0.403621368349871,0.403621368349871,0.5525589280439142,0.11415930891247963,0.2727272727272727,44.18181818181818,5,2015.5851282174517,204.1818181818182
Monza,105,81,261,204,224,57,0.625928064567637,0.42113505277003027,0.7223912850125588,0.07817039385838362,0.25,44.333333333333336,5,1833.670684158095,219.58333333333334
Monza,106,1,241,184,206,57,0.7916509514178985,0.5140938282388275,0.6469509892951527,0.0,0.4444444444444444,44.44444444444444,5,1254.4741430392435,201.88888888888889
Monza,106,2,219,173,192,46,0.6252839359348812,0.6252839359348812,1.0,0.09757723885319591,0.375,34.25,5,1202.5487058126387,187.125
Monza,106,4,210,184,198,26,0.5305770842926402,0.5305770842926402,0.6945782735681132,0.10811022426052888,0.25,33.625,5,1166.6511753733316,194.625
Monza,106,10,209,175,193,34,0.16079551088083485,0.16079551088083485,1.0,0.39598935923565265,0.2222222222222222,33.22222222222222,4,1070.078305706517,186.77777777777777
Monza,106,11,239,183,200,56,0.41201939447053637,0.12601890963806936,0.5090653405114134,0.0,0.375,42.125,5,1105.2863105228207,199.25
Monza,106,14,216,180,206,36,0.5096068251456822,0.5096068251456822,0.804344052025741,0.06365083519858274,0.42857142857142855,40.42857142857143,5,1431.1416090603343,194.14285714285714
Monza,106,16,239,184,192,55,0.6114430521509757,0.6114430521509757,1.0,0.0,0.5,34.375,5,1280.3038133964797,200.5
Monza,106,18,237,171,178,66,0.3968834410389024,0.30464694412277543,1.0,0.3577315036473346,0.25,29.25,4,1187.8119745608394,187.5
Monza,106,20,241,180,185,61,0.7189902977310493,0.7189902977310493,1.0,0.0,0.5,26.75,5,1230.8797507120603,197.75
Monza,106,22,234,180,191,54,0.6090379968031857,0.6090379968031857,0.6939661380819417,0.1905252998568135,0.375,33.5,5,1226.5646598559856,195.875
Monza,106,23,242,183,206,59,0.7326625930052572,0.7326625930052572,1.0,0.15179526253892087,0.3333333333333333,34.55555555555556,5,1803.058227462,200.22222222222223
Monza,106,24,216,169,186,47,0.639274995817453,0.639274995817453,1.0,0.0,0.375,46.25,5,1165.7491557461447,183.0
Monza,106,27,207,173,197,34,0.6010457035834846,0.6010457035834846,0.7140328361434629,0.1584082448829027,0.3333333333333333,40.22222222222222,5,1223.332564206358,185.77777777777777
Monza,106,31,209,172,186,37,0.83132309214742,0.83132309214742,1.0,0.0,0.625,30.0,5,942.0229092872589,189.375
Monza,106,40,205,177,184,28,0.6071537378548252,0.6071537378548252,0.7700162779128953,0.1587018864044976,0.3333333333333333,37.333333333333336,5,1074.9832884000402,185.33333333333334
Monza,106,44,264,181,195,83,0.7194451680255072,0.46963607729721335,1.0,0.050958207920676124,0.375,35.625,5,1413.603750860716,202.25
Monza,106,55,238,179,195,59,0.6003139365181467,0.6003139365181467,0.6957207447412563,0.1252987713706139,0.375,42.0,5,1209.0244133327224,198.375
Monza,106,63,222,189,199,33,0.44343856767862316,0.44343856767862316,1.0,0.23393438874667843,0.42857142857142855,34.714285714285715,5,929.106444779789,200.71428571428572
Monza,106,77,218,174,184,44,0.5201046222514111,0.5201046222514111,1.0,0.10797211402247417,0.375,37.5,5,1091.7753837976559,187.75
Monza,106,81,238,189,196,49,0.4344060624497191,0.4344060624497191,1.0,0.2237892701023125,0.2222222222222222,32.22222222222222,5,1172.7397366022442,202.33333333333334
Monza,107,1,262,193,194,69,0.5232104907921842,0.5232104907921842,1.0,0.18229465763284153,0.5,17.666666666666668,5,1028.858045575615,219.5
Monza,107,2,241,177,178,64,0.5069016122479697,0.5069016122479697,1.0,0.13091007294512588,0.5,12.333333333333334,5,638.9735367271226,194.16666666666666
Monza,107,4,235,192,194,43,0.8687226747341436,0.8687226747341436,1.0,0.0,0.6,14.8,5,988.539950346253,206.4
Monza,107,10,232,185,185,47,0.4587749534155041,0.4587749534155041,1.0,0.37875407177828524,0.5,9.0,5,1151.0406403629631,203.0
