Track,Driver_Number,Corner_ID,Apex_Speed,Exit_Speed,Speed_Delta,Corner_Distance_m,Max_Curvature,Braking_Dist_To_Apex_m,Trail_Braking_Pct,Throttle_App_From_Apex_m,Coasting_Pct,Average_Throttle,Minimum_Gear
Singapore,4,12,210,239,38,1860.22458180166,0.2508229753442247,0.0,7.6923076923076925,0.0,7.6923076923076925,76.61538461538461,5
Singapore,10,1,137,154,96,1176.976301362282,0.2398270874903925,0.0,28.57142857142857,0.0,21.428571428571427,27.071428571428573,4
Singapore,10,2,90,178,62,1501.2711142592243,0.34652631719315896,0.0,16.666666666666664,0.0,22.22222222222222,49.166666666666664,3
Singapore,10,3,160,176,92,1685.903861915227,0.29152923982941603,0.0,53.84615384615385,0.0,0.0,37.07692307692308,4
Singapore,10,5,272,272,36,987.5085858190632,2.572238278023935,0.0,28.57142857142857,0.0,0.0,74.71428571428571,8
Singapore,10,6,117,146,66,1195.9637765760344,0.19690294917182838,0.0,41.66666666666667,0.0,25.0,23.833333333333332,3
Singapore,10,7,76,86,84,711.1089834803934,0.3174528297308845,152.70275816822686,58.333333333333336,0.0,16.666666666666664,9.75,2
Singapore,10,8,125,154,49,1459.7976726489433,2.3303937650909203,0.0,33.33333333333333,42.05948168962641,25.0,36.333333333333336,3
Singapore,10,9,105,105,157,2818.9852753887462,1.0746602706063009,0.0,41.66666666666667,0.0,16.666666666666664,36.958333333333336,3
Singapore,10,10,134,173,0,561.157664951952,0.186319736052815,0.0,0.0,0.0,0.0,92.83333333333333,3
Singapore,10,11,71,77,127,930.2842873934278,0.35941499981081226,181.08783840556862,53.84615384615385,0.0,23.076923076923077,7.846153846153846,2
Singapore,10,12,195,252,0,1280.049195808242,0.7064228027897388,0.0,0.0,0.0,0.0,100.0,4
Singapore,10,13,90,109,80,1026.9155350091896,0.2815122305458648,0.0,41.66666666666667,0.0,16.666666666666664,20.583333333333332,3
Singapore,10,14,242,257,0,732.6663264188537,0.11090815234566395,0.0,0.0,0.0,0.0,100.0,6
Singapore,10,15,111,171,75,1693.0995006144221,0.31739810720849404,0.0,23.52941176470588,0.0,11.76470588235294,45.88235294117647,3
Singapore,10,16,210,242,37,2054.2285847356106,0.5470529895817414,0.0,7.142857142857142,0.0,14.285714285714285,68.35714285714286,5
Singapore,11,1,83,186,224,3350.9153522073757,0.35055355085421946,130.96618064443737,31.03448275862069,0.0,3.4482758620689653,46.58620689655172,2
Singapore,11,2,152,192,70,3091.419168629339,0.6588603373151471,0.0,21.052631578947366,0.0,5.263157894736842,62.68421052631579,4
Singapore,11,3,119,134,106,1017.5753768003342,0.22655020884544363,0.0,36.36363636363637,0.0,18.181818181818183,25.818181818181817,3
Singapore,11,4,74,82,87,797.2547679375311,0.3942324189250992,176.46416651675827,54.54545454545454,0.0,9.090909090909092,11.0,2
